User_id,Phone,Password,Nickname,Real_name,Id_card,Gender,Birthday,Register_time,Balance,Member_level,Status
1,13856927410,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,freedom,王涵之,11010119900101****,男,1990/1/1,2025/1/10 9:23,1289.5,3,1
2,13972458136,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,StarryNight,李梦琪,31010119950520****,女,1995/5/20,2025/2/15 14:10,867.3,2,1
3,15639827541,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,清风徐来,张伟,44010119851015****,男,1985/10/15,2025/3/8 10:05,5200.8,4,1
4,18065429738,74a80519aeb59f0b23927c82a5c3752d42e2516f949d1279e4a2a8e58e3e4e5a,小太阳,刘悦,21010120000808****,女,2000/8/8,2025/4/20 16:30,350.2,1,1
5,17782564930,d8578edf8458ce06fbc5bb76a58c5ca4c03ddf9399210f7a3ed039515d45f0af,老炮儿,陈刚,51010119781225****,男,1978/12/25,2025/1/25 8:15,0,1,0
6,19138572649,3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b,喵星人,杨紫涵,33010119920312****,女,1992/3/12,2025/5/5 11:20,1560.9,3,1
7,18857392641,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,行者无疆,赵磊,61010119880707****,男,1988/7/7,2025/2/18 19:40,2890.4,4,1
8,13682547931,aefd60a91b47f89d98f0e96e06495015a2d19967c8c4605e946e8b5c2a3b8f76,甜茶,孙雨桐,42010119981130****,女,1998/11/30,2025/4/12 13:05,680.7,2,1
9,15274938625,2df85767191b43ed8091b4c22f855f99a3a0b2e8f8e0c4e0d2e3f4a5b6c7d8e9,低调的大佬,黄志强,45010119820618****,男,1982/6/18,2025/3/25 7:50,8900.2,4,1
10,17863259471,c4ca4238a0b923820dcc509a6f75849b82b3e948d8c8f90a4f0a6b7c8d9e0f1g,小透明,周琳,NULL,未知,1996/9/9,2025/5/18 20:18,120.5,1,1
